quote_id;quote_name;author;title;quote_text
1;forferdelig-1;Unni;urettmessig reduksjon;Urettmessig fradrag i oppgjør i form av «rabattordninger» - uten informasjon om denne rabattordningen, eller hvordan vi kan nyttiggjøre disse angivelige rabattene på en måte som gir mulighet til å erstatte alt som er tapt. I praksis sitter vi igjen med en betydelig, etter vår mening urettmessig, reduksjon i oppgjøret. Dette er helt urimelig!!!!
2;forferdelig-2;Linn;Holde dere unna;Må ikke finne på å bruke Fremtind. Dekker ingenting. Mitt barn under 12år (11år) var uheldig å slo en golfball i en vindusrute på ferie, dekkes kun om barnet voldet skaden med vilje og ikke om det var et uhell. Lang saks behandlings tid. Useriøst. Måtte ordne opp selv med eier av vinduet. Hold dere borte.
3;forferdelig-3;Edvard;Generelt dårlig;Generelt dårlig behandling. Plages med å få kontakt med dem, får ikke svar på spørsmål. I skadeoppgjør tar dem i snitt 14 dager for å svare. Veldig vanskelig å ha med å gjøre anbefaler å se andre plasser for forsikring.
4;forferdelig-4;Kjell;Skuffet;Nekter å utbetale forsikring for en del som er ødelagt i boet. Ser ikke hensikten med å betale forsikring, når en ikke får dekket når uhellet er ute.
5;utmerket-1;Tor H;Fornøyd;Veldig fornøyd. Rask saksbehandling og raskt oppgjør. Anbefales
6;utmerket-2;Inge;Som forventet;Saken ble håndtert uten at jeg var involvert- fet gikk som smurt
7;utmerket-3;Sissel;Rask og god service;Skademeldingsskjema på nett, var greit å fylle ut og selve saksgangen gikk av seg selv. Enkelt og greit :-)
8;utmerket-4;Nils K;Saken løst;Med litt mer informasjon om situasjonen da tapet oppsto så løste Fremtind saken på en meget tilfredstillende måte.
9;utmerket-5;Klas;Fremtind står fram;Føler meg veldig godt ivaretatt i Fremtind! Det jeg har hatt av saker for fremtind har løst seg på eksemplarisk vis! Ingen lange utgreiinger om hvor og hvordan. Det løste seg uten særlig tiltak fra min side!
10;utmerket-6;Sissel K;God fornøyd;Har måttet bruke reiseforsikring et par ganger. Har alltid vært fornøyd med kvaliteten, og behandlingstiden
