quote_id;quote_name;author;title;quote_text
1;pølse_1;pølse;pølse-er-flott;Pølse er en flott matrett
2;pølse_2;pølse;pølse-med-lompe;Pølse med lompe eller brød faller ofte i smak hos meg
3;pølse_3;pølse;pølse-hater;Jeg HATER pølser!
4;pølse_4;pølse;pølse-ok;Pølser er helt OK, men jeg foretrekker fiskeboller
5;sport_1;sport;triatlon-50;Situasjonen for aktive triathleter i 50-årene er blitt svært krevende her i kommunen, hevder Martin Iden fra Kolbotn IL.
6;pølse_5;pølse;pølse-verden;Verden hadde vært et bedre sted om flere likte pølser
7;pølse_6;pølse;pølse-elsker;Jeg ELSKER pølser over alt og alle!
8;pølse_7;pølse;pølse-rekesalat;Pølse med brød og rekesalat er populært hos oss
9;grønnsak_1;grønnsak;agurk;Agurk er en aldeles nydelig grønnsak - antakelig min favoritt!
10;sport_2;sport;fotball-kroatia;Over to kamper vant Norge til slutt 8-0 over Kroatia sammenlagt. Dermed beholder landslaget plassen på nivå A i Nasjonsligaen.
11;hot_dog_1;hot_dog;just-love-hot-dogs;I just LOVE hot dogs! My absolute favorite food!
12;hot_dog_2;hot_dog;hate-hot-dogs;Man, do I hate hot dogs! The most disgusting food EVER!
13;grønnsak_2;grønnsak;jordskokk;Det har tatt sin tid, men nå har mange fått øynene opp for hvor mye lekkert som kan lages med jordskokk. 
